"coben_breaker" "coben_dropshot" "coben_fadeaway" "coben_falsemove" "coben_goneforgood" "coben_nosecondchance" "coben_tellnoone" "galbraith_cuckoos" "lewis_battle" "lewis_caspian" "lewis_chair" "lewis_horse" "lewis_lion" "lewis_nephew" "lewis_voyage" "rowling_casual" "rowling_chamber" "rowling_goblet" "rowling_hallows" "rowling_order" "rowling_prince" "rowling_prisoner" "rowling_stone" "tolkien_lord1" "tolkien_lord2" "tolkien_lord3"
"you" 1.25870284342644 1.51396502218742 1.45565335138795 1.35078765274574 1.16912143962405 1.00792659010681 1.04019808783632 1.07826424403698 1.06463355999725 1.02686146184527 1.10377831808884 1.08610688279097 1.14069454438848 1.34262039149754 0.856543195870441 0.597864156415519 0.962497799166618 0.894572025052192 0.963367960634226 1.08324882455979 1.1762292680068 0.806294929084904 0.97287326114698 0.871986928618353 0.954113237835704 0.917587211451725
"that" 0.773851463510754 0.741320803967632 0.844053261114872 0.948373165824214 1.27132404913367 1.16937727467596 1.10061961685642 1.18567488531315 1.2294800467065 1.06211850774553 1.31218401451121 1.1539885629654 1.25529703366115 1.34502221688483 1.18743736646057 1.15886104727612 0.72656846059041 0.803757828810021 0.904319300164024 0.836636858117452 1.12406962433335 0.733436953565184 0.726496266440926 1.24705921987209 1.10104926564351 1.27101725744199
"it" 0.829979578919713 0.826155050900548 0.899345520198601 0.862492025322668 0.886392725466598 0.959582599812097 0.939495539469475 0.856513242692612 1.20658470133022 1.20535025671537 1.24078576666281 1.01616818200518 1.292609472029 1.34742404227213 1.54102142303402 0.907549187076795 0.991842244263161 0.934237995824635 1.0098414434117 0.93305368611905 0.945320283654691 0.79172333398096 1.00446005534006 1.14374589413753 1.03761432852824 1.03810833592121
"his" 0.982839127267516 0.833985904463587 1.07650643195667 0.972910634538941 0.617991479931992 0.47158194306355 0.688331536483941 1.0907377378626 0.858575451610688 0.720565875586699 0.461194087453205 0.812523141481878 0.602329362223821 0.564428966014171 0.563465501919186 1.03228343553759 1.30524091789424 1.29488517745303 1.22799343903773 1.21884699302418 1.26999941393659 1.66116184184962 1.12954376034468 0.801801245374763 0.91915929289464 0.963429602354229
"had" 0.680702676236311 0.545549464891673 0.570977206048296 0.615890464739657 0.733566393489598 0.846475905537667 0.715580461336145 1.31179576732776 0.897497538750372 0.795487098124766 0.831693103315194 0.884518862879006 0.826203992430905 1.02798126576198 0.949193563635676 2.01295269929829 0.788778684195082 0.970772442588727 0.950792782941498 0.894640607233951 0.965832503076833 0.918010491548475 0.880639822103175 0.657499480625944 0.559910414333707 0.606302589355693
"on" 0.746384513417008 0.625163142782563 0.731211916046039 0.736124061441822 0.711597608267905 0.744315020386569 0.740459914462071 0.823943564370158 0.691439430363807 0.733787267799299 0.82397437381807 0.783724852923026 0.786226379893926 0.638885553020295 0.856543195870441 0.758236761579394 0.679617348435941 0.627870563674321 0.543466375068343 0.734458068283089 0.539764402508351 0.796580532348941 0.78082555245303 0.66816770447897 0.591627882891338 0.579684426896174
"at" 0.468132366815147 0.536413469068128 0.566463552245543 0.592579869460666 0.594112365560586 0.578303582016036 0.574596893622567 0.555070475240115 0.631911532385466 0.672087437473833 0.588553124155764 0.660303616242235 0.671623890621252 0.576438092950643 0.69771399398718 0.666683052118024 0.758260461294677 0.85490605427975 0.631492618917441 0.811668356842138 0.739612026021215 0.777151738877016 0.734077097047266 0.539026047310765 0.536607784372997 0.563417772059802
"her" 0.839533300691451 0.797441921169407 0.558564658090724 0.912793836187859 0.953254245706535 0.97782561501765 0.762969895861718 1.34783030504622 0.171715090322137 0.235781494458033 0.627146771641388 0.255070555806969 0.58633831720903 0.542812537528522 0.334675818254013 1.71187003059983 0.326310229473561 0.447286012526096 0.514488791689448 0.672228880489229 0.483502314950478 0.349718282494657 0.219844087583863 0.0853457908242045 0.0815592048624821 0.126436271682712
"with" 0.620991915162951 0.57556773688332 0.689460618370571 0.59135299602493 0.53202666819493 0.564621320611871 0.620801592285 0.760883123362854 0.522013874579298 0.619201868623433 0.515225193933079 0.569794709342988 0.639641800591669 0.533205235979344 0.586155387902509 0.740417583227852 0.550501790011151 0.592901878914405 0.537452159650082 0.600396422974094 0.616538709488367 0.582863804157762 0.506652178857063 0.571592204335791 0.63952773336613 0.644751046241663
"Harry" 0 0.00261028452101279 0.00112841345068833 0 0 0 0 0.000692971879201142 0 0 0 0 0 0 0 0 1.76184048359646 1.52974947807933 1.4505194095134 1.45086198949018 1.53431401277618 1.97687973576841 1.70063299935563 0.00168445639784614 0 0.00147878680330657
"as" 0.296165374923869 0.233620464630645 0.252764612954186 0.283407763655101 0.305652663953999 0.255402212877744 0.281967135427157 0.495474893628817 0.705176637589578 0.661069610629999 0.721701207981166 0.713786152137244 0.66895871645212 0.720547616188303 0.773346947264923 0.504467083676404 0.626797347262163 0.67223382045929 0.644067796610169 0.664546264712209 0.682763875051281 0.519720225374004 0.608993392042655 0.667606219013021 0.662830363326839 0.662496487881342
"for" 0.563669584532524 0.609501435656487 0.575490859851049 0.602394856946557 0.517699199572086 0.503507219673268 0.531946402549552 0.567543969065735 0.631911532385466 0.553094907560433 0.548029794295859 0.709672110914551 0.549025878841182 0.554821664464993 0.654225045852478 0.592948521008197 0.470684899348553 0.484342379958246 0.441771459814106 0.483620663163394 0.552657797573697 0.592578200893724 0.434634288096832 0.678274442866046 0.546964508799979 0.694290404152433
"not" 0.497987747351828 0.476376925084834 0.461521101331528 0.538597438288266 0.57023325118918 0.515365179556877 0.358974966531212 0.406081521211869 0.483091787439614 0.553094907560433 0.461194087453205 0.530711317727404 0.42376269289198 0.54761618830311 0.54455726359975 0.62735796885945 0.242972005399378 0.334029227557411 0.549480590486605 0.56774530592176 0.63822305573463 0.189430736351273 0.253957825312393 0.739476358654456 0.87643780463334 0.69355101075078
"him" 0.580388597633065 0.536413469068128 0.616113744075829 0.588899249153457 0.465165147954993 0.342056535104122 0.38030021206772 0.480922484165593 0.535751081805069 0.326127674577466 0.254718073405118 0.469000699387008 0.522374137149863 0.34826468115768 0.372492294892885 0.505081538102319 0.56341334585363 0.708768267223382 0.644067796610169 0.621139485572048 0.603645314423021 0.568292209053818 0.625418525023058 0.461541053009843 0.491944410281638 0.503526906525886
"He" 1.0306077361262 0.918820151396502 1.02798465357707 0.839181430043677 0.783234951382123 0.506243671954101 0.662267347494876 0.476071681011185 0.352588318794789 0.209338710032833 0.140866813322527 0.259184597029662 0.287838810266251 0.256995316440495 0.243916274320722 0.465142000417829 0.46833734374083 0.544885177453027 0.561509021323127 0.444439322700593 0.422551720096114 0.451719448222265 0.622891581487612 0.402585079085228 0.410385205419156 0.328290670334058
"The" 0.738025006866738 0.789611067606369 0.763935906116001 0.709132845855622 0.771772976483848 0.711477593016574 0.691885744073359 0.388757224231841 0.501408063740642 0.4363059430158 0.434178534213269 0.382605833710454 0.311825377788438 0.461150474360514 0.383837237884546 0.354540203753088 0.359176007981689 0.367954070981211 0.468015308911974 0.310377677391598 0.293031706030593 0.340003885758694 0.375251115013835 0.54576387290215 0.504243020538679 0.404448190704346
"they" 0.180326498441549 0.228399895588619 0.238095238095238 0.228198459046965 0.180526104647831 0.290063941768295 0.229838757449027 0.23075963577398 0.817363829933375 0.888036843612966 0.895372621666474 0.516312173447978 0.834199514938301 0.667707457667828 0.822508366895456 0.3348776621238 0.420212453782499 0.483820459290188 0.454346637506834 0.429458221935405 0.328781574166325 0.296289100446862 0.568562295475508 0.802362730840712 0.822065001391685 0.780799432145868
"she" 0.600690256398008 0.523362046463065 0.46039268788084 0.569269274181675 0.518654364146943 0.57283067745437 0.418211759688178 1.14201765692348 0.219795315612336 0.2974813247835 0.810466597198101 0.226272267248118 0.604994536392953 0.562027140626876 0.478378429481725 1.2670050262372 0.201889782264217 0.319415448851775 0.353745215965008 0.422927998524938 0.352810174060833 0.17971633961531 0.21479020051297 0.0763620233690251 0.0491944410281638 0.124218091477752
"were" 0.401256314412983 0.429391803706604 0.39268788083954 0.393826372871375 0.422182742086462 0.407731389844113 0.386223891383416 0.325003811345336 0.609016187009181 0.550891342191666 0.611709312647138 0.489570905500473 0.538365182164654 0.590849045274409 0.571028797246961 0.344094478512529 0.388520453078232 0.462421711899791 0.395844723892838 0.384130788850988 0.34108890581961 0.349718282494657 0.384095417387898 0.535095649049124 0.499064658325188 0.459902695828342
"but" 0.296165374923869 0.36935525972331 0.363349131121643 0.345978308877656 0.408810438038474 0.41685289744689 0.444275948677242 0.349257827117376 0.364035991482932 0.434102377647033 0.358920921616302 0.333237339038137 0.343807467818022 0.381890236579801 0.421653714523418 0.406768829955882 0.327484007277422 0.364300626304802 0.401312192454893 0.385667312006392 0.445408193166501 0.301146298814844 0.453586364612683 0.54576387290215 0.504890315815365 0.494654185706047
"be" 0.311690172802943 0.348472983555208 0.364477544572331 0.322667713598665 0.317114638852274 0.349353741186343 0.323432890637032 0.346485939600571 0.508276667353527 0.504616469447566 0.493998687815985 0.635619368906076 0.533034833826391 0.564428966014171 0.516194906120597 0.364985928993647 0.436645343036563 0.390396659707724 0.330781848004374 0.397959497249624 0.443063939518256 0.427433456382359 0.457376779915853 0.481193044318048 0.413621681802588 0.516096594353992
"have" 0.376177794762172 0.408509527538502 0.415256149853306 0.315306472984247 0.302787170229431 0.363948153350786 0.325802362363311 0.354108630271784 0.439590631224672 0.526652123135233 0.46891281695033 0.429917307771424 0.389115428693265 0.429926744325688 0.516194906120597 0.295552578865226 0.313398673631082 0.347077244258873 0.335155822854019 0.357241633631419 0.461231905292153 0.228288323295123 0.363879869104325 0.538464561844817 0.540491556033116 0.487260251689514
"up" 0.402450529634451 0.385016966849387 0.511171293161815 0.474800019629975 0.482358110302405 0.508980124234934 0.478633288708282 0.364503208459801 0.460196442063329 0.407659593221833 0.407162980973332 0.322952235981405 0.309160203619307 0.393899363516272 0.370601471060941 0.372359382104629 0.440166676448148 0.458768267223382 0.305631492618917 0.386819704372945 0.325851257106019 0.446862249854284 0.452322892844959 0.330153453977844 0.349539449410638 0.337902784555551
"all" 0.303330666252672 0.23884103367267 0.300157977883096 0.229425332482701 0.306607828528856 0.240807800713302 0.313955003731918 0.331240558258146 0.776152208256062 0.738194398536833 0.661881054378449 0.594478956679146 0.855520908291357 0.590849045274409 0.669351636508027 0.320130755901835 0.388520453078232 0.388830897703549 0.301257517769273 0.370302080452352 0.349293793588466 0.344861084126676 0.435897759864556 0.426728954121023 0.396144709332056 0.552326871035003
"out" 0.383343086090975 0.356303837118246 0.370119611825773 0.408548854100211 0.439375704433874 0.376718263994673 0.430059118319571 0.417169071279087 0.402958078622616 0.326127674577466 0.384006792481957 0.388776895544493 0.421097518722849 0.446739522036748 0.393291357044264 0.352082386049427 0.438992898644287 0.399791231732777 0.349371241115364 0.372606865185458 0.363359315477935 0.500291431902079 0.453586364612683 0.337452765035177 0.287399102848747 0.309805835292726
"is" 0.298553805366803 0.374575828765335 0.407357255698488 0.376650144771065 0.296101018205437 0.380366867035784 0.246425059532977 0.149681925907447 0.501408063740642 0.506820034816333 0.424530122341863 0.600650018513186 0.493057221289411 0.42031944277651 0.484050900977556 0.127806520590368 0.239450671987793 0.288100208768267 0.230180426462548 0.255831105374758 0.300650530387388 0.17971633961531 0.208472841674353 0.710840599891072 0.692605946054412 0.616654096978839
"from" 0.280640577044795 0.250587314017228 0.242608891897991 0.249055307454483 0.280818385007737 0.261787268199688 0.267750305069485 0.349257827117376 0.384641802321588 0.273242105727066 0.320327274130678 0.327066277204098 0.266517416913195 0.266602617989672 0.351693232741505 0.36191365686407 0.360349785785551 0.365866388308977 0.378895571350465 0.409099290126302 0.323507003457774 0.374004274334564 0.294388921879541 0.381810116845125 0.422036520399511 0.44141786078701
"them" 0.219735600749967 0.152701644479248 0.197472353870458 0.220837218432547 0.203450054444381 0.217091880946083 0.255902946438092 0.201654816847532 0.515145270966412 0.4429166391221 0.45347535795608 0.314724153536018 0.503717917965939 0.437132220487571 0.397073004708151 0.259914222162142 0.390868008685956 0.415970772442589 0.406232914160744 0.381826004117882 0.306511164508 0.223431124927142 0.409364852742365 0.430097866916715 0.501006544155247 0.409623944515919
"me" 0.378566225205106 0.432002088227617 0.402843601895735 0.407321980664475 0.858692952795767 0.697795331612409 0.829315104197519 0.33955622080856 0.256427868214392 0.209338710032833 0.260507120527961 0.325009256592751 0.159910450147917 0.230575237180257 0.223117212169342 0.145625698941909 0.280532895122953 0.242693110647182 0.216511755057408 0.227789557788636 0.298306276739143 0.165144744511366 0.269119486525074 0.253791430608819 0.25827081539786 0.278011919021635
"But" 0.355876135997229 0.334116418689637 0.296772737531031 0.392599499435638 0.330486942900262 0.350265891946621 0.303292380963664 0.129585741410614 0.448748769375186 0.418677420065666 0.428389487090425 0.483399843666434 0.405106473708057 0.427524918938393 0.434889481347023 0.132107701571774 0.208932449087388 0.150835073068894 0.157463094587206 0.148274484496481 0.20277794057317 0.199145133087235 0.138981894449569 0.404831020949023 0.486118752791461 0.490217825296127
"been" 0.222124031192902 0.2244844688071 0.226811103588355 0.249055307454483 0.267446080959749 0.232598443870803 0.238131908491002 0.41855501503749 0.306797628042219 0.288667063308433 0.312608544633553 0.281811823754474 0.373124383678473 0.319442776510148 0.310095108438747 0.433190370270237 0.322788896061975 0.294363256784969 0.278840896664844 0.300774407670324 0.321748813221591 0.296289100446862 0.266592542989627 0.233016468368716 0.160529228618219 0.194460464634814
"what" 0.329603401124951 0.382406682328374 0.375761679079215 0.322667713598665 0.396393298565343 0.411379992885224 0.376746004478302 0.246697988995607 0.279323213590677 0.2512064520394 0.256647755779399 0.292096926811207 0.319820900295834 0.312237300348265 0.355474880405393 0.221203593329483 0.242972005399378 0.260438413361169 0.254784034991799 0.290018745582496 0.300650530387388 0.17971633961531 0.308287111324497 0.197642884013947 0.192246697175851 0.178933203200095
"this" 0.343933983782557 0.313234142521535 0.361092304220266 0.330028954213083 0.338128259499112 0.381279017796061 0.360159702394351 0.22452288886117 0.293060420816448 0.315109847733633 0.353131874493458 0.339408400872177 0.373124383678473 0.329050078059325 0.419762890691474 0.201541051700195 0.232408005164622 0.236951983298539 0.204483324220886 0.26044067484097 0.297720213327082 0.213716728191179 0.253957825312393 0.251545488745024 0.241441138204015 0.248436182955503
"about" 0.358264566440164 0.413730096580527 0.37914691943128 0.355793296363547 0.415496590062468 0.399522033001614 0.398071250014809 0.302828711210899 0.235822057375735 0.260020713514466 0.337694415499209 0.304439050479286 0.306495029450175 0.302629998799087 0.281732750959593 0.27957676379143 0.210106226891249 0.260438413361169 0.179879715691635 0.22932608094404 0.219773779522944 0.213716728191179 0.270382958292797 0.180798320035486 0.17282783887526 0.169321088978602
"into" 0.171966991891279 0.151396502218742 0.195215526969081 0.202434116896501 0.204405219019237 0.219828333226916 0.208513511912519 0.244619073358003 0.281612748128306 0.246799321301866 0.30681949751071 0.24272843213889 0.343807467818022 0.283415395700733 0.262824512640157 0.278347854939599 0.358002230177827 0.360647181628392 0.31765992345544 0.269275682984543 0.304752974271816 0.306003497182825 0.276700317131414 0.24873806141528 0.244677614587446 0.215902873282759
"like" 0.417975327513525 0.379796397807361 0.391559467388851 0.45271629778672 0.297056182780293 0.263611569720243 0.318693947184475 0.264022285975635 0.331982507956133 0.328331239946233 0.343483462622052 0.285925864977167 0.279843287758855 0.350666506544974 0.3384574659179 0.224890319884974 0.203063560068079 0.215553235908142 0.201749589939858 0.192449525214345 0.20277794057317 0.208859529823198 0.235005748796543 0.219540817185947 0.250503272077624 0.218121053487719
"back" 0.311690172802943 0.236230749151658 0.350936583164071 0.311625852677038 0.361052209295662 0.354826645748009 0.336464985131565 0.270952004767647 0.208347642924193 0.196117317820233 0.194897919802401 0.203645040523306 0.207883585192292 0.281013570313438 0.194754854690189 0.264215403143549 0.322788896061975 0.304279749478079 0.139967195188628 0.299622015303771 0.243802379417453 0.262288711870993 0.324712244304901 0.184167232831178 0.223964165733483 0.19593925143812
"my" 0.208987663756762 0.244061602714696 0.164748363800497 0.249055307454483 0.875885915143179 0.897556348113216 0.803250915208454 0.15176084154505 0.215216246537079 0.222560102245433 0.227702520165181 0.415518163491998 0.157245275978785 0.285817221088027 0.215553916841568 0.0712767134061667 0.185456893010153 0.184237995824635 0.139967195188628 0.119080544543806 0.145343726191174 0.131144355935496 0.106131628488761 0.249861032347178 0.261507291781292 0.272096771808408
"there" 0.146888472240467 0.181414774210389 0.200857594222523 0.197526623153555 0.235925649989493 0.252665760596911 0.236947172627863 0.2425401577204 0.386931336859217 0.3239241092087 0.380147427733395 0.327066277204098 0.389115428693265 0.398703014290861 0.368710647228998 0.198468779570619 0.19719467104877 0.184237995824635 0.231273920174959 0.202821056513322 0.230908984352107 0.199145133087235 0.25269435354467 0.359350698207177 0.349539449410638 0.409623944515919
"would" 0.2185413855285 0.193161054554946 0.27758970886933 0.303037738626883 0.35627638642138 0.367596756391896 0.27604345611146 0.205812648122739 0.313666231655105 0.262224278883233 0.287522673767898 0.339408400872177 0.261187068574931 0.362675633481446 0.334675818254013 0.347166750642105 0.161981336932919 0.203027139874739 0.205030071077091 0.205509972035279 0.259040028131044 0.17971633961531 0.128874120307782 0.232454982902768 0.229142527946974 0.24326042914393
"And" 0.173161207112746 0.220569042025581 0.159106296547055 0.301810865191147 0.302787170229431 0.208882524103584 0.209698247775658 0.134436544565022 0.59527897978341 0.480377250391133 0.584693759407202 0.63356234829473 0.647637323099065 0.477963252071574 0.599391154726114 0.098927162572352 0.188978226421738 0.155010438413361 0.179879715691635 0.146353830552226 0.205708257633476 0.14571595103944 0.140245366217292 0.239754293960101 0.27963155952851 0.482084497877941
"we" 0.152859548347803 0.109631949882537 0.12186865267434 0.177896648181774 0.299921676504862 0.289151791008018 0.231023493312166 0.0956301193297576 0.430432493074158 0.4363059430158 0.362780286364864 0.263298638252355 0.333146771141494 0.194547856370842 0.38572806171649 0.0890958917577083 0.169024003756089 0.151356993736952 0.268999453253144 0.2719645985065 0.211568891754088 0.131144355935496 0.176886047481269 0.3930398261641 0.482234981131343 0.310545228694379
"You" 0.464549721150746 0.592534586269903 0.605958023019634 0.458850664965402 0.47089613540413 0.395873429960504 0.406364401056784 0.203733732485136 0.155688348558738 0.187303056345166 0.169812048936745 0.125478257292138 0.111937315103542 0.196949681758136 0.138030139731881 0.149926879923316 0.181935559598568 0.198329853862213 0.212684527063969 0.196674963891706 0.219187716110883 0.140858752671459 0.173095632178099 0.145424735680717 0.14434684670106 0.130133238690978
"could" 0.168384346226877 0.164447924823806 0.151207402392237 0.147224812288364 0.273177068408887 0.274557378843575 0.204959304323101 0.228680720136377 0.364035991482932 0.264427844252 0.341553780247771 0.257127576418316 0.226539804376216 0.362675633481446 0.317658403766521 0.281420127069175 0.232408005164622 0.22651356993737 0.300164024056862 0.240465873820718 0.275449803668757 0.136001554303478 0.236269220564266 0.243684692221742 0.252445157907683 0.236605888529051
"one" 0.300942235809738 0.354998694857739 0.35883547731889 0.298130244883938 0.288459701606587 0.286415338727185 0.305661852689943 0.205812648122739 0.430432493074158 0.352570459002666 0.328046003627803 0.281811823754474 0.279843287758855 0.374684760417918 0.395182180876208 0.177577329089501 0.232408005164622 0.220772442588727 0.19409513395298 0.178620816815709 0.206294321045537 0.262288711870993 0.286808091273201 0.180236834569537 0.190304811345792 0.204072578856306
"now" 0.142111611354598 0.187940485512921 0.195215526969081 0.180350395053246 0.207270712743806 0.270908775802465 0.194296681554847 0.115726303826591 0.279323213590677 0.2776492364646 0.270155532399367 0.345579462706216 0.351802990325418 0.312237300348265 0.255261217312383 0.0761923488134885 0.16315511473678 0.241649269311065 0.208310552214325 0.220106942011616 0.213327081990271 0.194287934719254 0.156670499197695 0.325661570250254 0.407148729035724 0.436981500377091
"know" 0.309301742360008 0.378491255546855 0.425411870909501 0.316533346419983 0.411675931763043 0.41685289744689 0.360159702394351 0.236303410807589 0.180873228472651 0.2247636676142 0.202616649299525 0.172789731353108 0.183897017670105 0.204155157920019 0.139920963563825 0.165902694997112 0.186630670814015 0.183716075156576 0.214871514488792 0.205125841246428 0.213913145402333 0.121429959199534 0.23374227702882 0.158338901397537 0.152114390021296 0.111648403649646
"if" 0.182714928884484 0.146175933176716 0.160234709997743 0.17912352161751 0.221598181366649 0.282766735686074 0.186003530512872 0.133050600806619 0.345719715181904 0.3239241092087 0.343483462622052 0.347636483317563 0.381119906185869 0.381890236579801 0.380055590220659 0.150541334349231 0.184283115206291 0.167014613778706 0.152542372881356 0.198979748624812 0.167614135849499 0.165144744511366 0.246376994706053 0.346436532490356 0.340477315537029 0.310545228694379
"She" 0.572029091082795 0.541634038110154 0.376890092529903 0.484615007115866 0.487133933176686 0.596546597221589 0.438352269361546 0.39430099926545 0.04579069075257 0.0991604415944999 0.214194743545212 0.043197432838277 0.111937315103542 0.144109523237661 0.103995310756897 0.542563258083148 0.0751217794471506 0.116388308977035 0.140513942044833 0.127531421898528 0.10900779464338 0.0922867689916456 0.0732813625279543 0.0129141657168204 0.00906213387360912 0.0125696878281058
"their" 0.0931487872744426 0.0848342469329157 0.119611825772963 0.126367963880846 0.0706821785393623 0.102160885151098 0.10307202009312 0.14552409463224 0.364035991482932 0.374606112690333 0.295241403265023 0.211873122968692 0.301164681111911 0.23778071334214 0.262824512640157 0.209528959237093 0.231234227360761 0.276096033402923 0.231820667031165 0.227405426999785 0.177577213854539 0.155430347775403 0.257748240615563 0.334645337705433 0.411679795972529 0.358605799801843
"so" 0.176743852777147 0.164447924823806 0.168133604152562 0.170535407567355 0.204405219019237 0.1714843429322 0.167047756702643 0.181558632350699 0.279323213590677 0.2842599325709 0.378217745359114 0.298267988645246 0.362463687001946 0.326648252672031 0.25904286497627 0.221818047755398 0.205411115675803 0.205636743215031 0.215965008201203 0.250837405119695 0.260212154955166 0.14571595103944 0.232478805261096 0.206626651469127 0.221374984626737 0.230690741315825
"or" 0.199433941985025 0.195771339075959 0.262920334010381 0.238013446532856 0.268401245534606 0.215267579425527 0.27604345611146 0.161462447853866 0.263296471827278 0.229170798351733 0.297171085639304 0.279754803143128 0.247861197729272 0.285817221088027 0.33278499442207 0.158529241886129 0.0962497799166618 0.111691022964509 0.162383816293056 0.142128391874866 0.189298482095763 0.140858752671459 0.118766346165995 0.345875047024408 0.396792004608742 0.300193721071233
"It" 0.246008335622246 0.200991908117985 0.253893026404875 0.181577268488983 0.238791143714062 0.283678886446352 0.253533474711813 0.175321885437889 0.315955766192733 0.2710385403583 0.293311720890741 0.240671411527544 0.247861197729272 0.312237300348265 0.334675818254013 0.177577329089501 0.208932449087388 0.174321503131524 0.192454893384363 0.117544021388402 0.169958389497744 0.14571595103944 0.27922726066686 0.309378491737741 0.253739748461055 0.207769545864573
"no" 0.214958739864098 0.220569042025581 0.190701873166328 0.147224812288364 0.215867193917512 0.391312676159116 0.187188266376011 0.15176084154505 0.27474414451542 0.262224278883233 0.326116321253522 0.29003990619986 0.263852242744063 0.247388014891317 0.268496984135988 0.158529241886129 0.172545337167674 0.15187891440501 0.159103335155823 0.15173166159614 0.170544452909805 0.136001554303478 0.156670499197695 0.285796102167895 0.324942228896556 0.329769457137364
