"Fight_club_Book_22_1" "Fight_club_Book_22_2" "Fight_club_Book_22_3" "Fight_club_Book_22_4" "Fight_club_Book_22_5" "Fight_club_Book_22_6" "Fight_club_Book_22_7" "Fight_club_Book_22_8" "Fight_club_Book_22_9" "Fight_club_Book_22_10" "Fight_club_Book_22_11" "Fight_club_Book_22_12" "Fight_club_Book_22_13" "Fight_club_Book_22_14" "Fight_club_Book_22_15" "Fight_club_Book_22_16" "Fight_club_Book_22_17" "Fight_club_Book_22_18" "Fight_club_Book_22_19" "Fight_club_Book_22_20" "Fight_club_Book_22_21" "Fight_club_Book_22_22" "Fight_club_book_33_1" "Fight_club_book_33_2" "Fight_club_book_33_3" "Fight_club_book_33_4" "Fight_club_book_33_5" "Fight_club_book_33_6" "Fight_club_book_33_7" "Fight_club_book_33_8" "Fight_club_book_33_9" "Fight_club_book_33_10" "Fight_club_book_33_11" "Fight_club_book_33_12" "Fight_club_book_33_13" "Fight_club_book_33_14" "Fight_club_book_33_15" "Fight_club_book_33_16" "Fight_club_book_33_17" "Fight_club_book_33_18" "Fight_club_book_33_19" "Fight_club_book_33_20" "Fight_club_book_33_21" "Fight_club_book_33_22" "Fight_club_book_33_23" "Fight_club_book_44_1" "Fight_club_book_44_2" "Fight_club_book_44_3" "Fight_club_book_44_4" "Fight_club_book_44_5" "Fight_club_book_44_6" "Fight_club_book_44_7" "Fight_club_book_44_8" "Fight_club_book_44_9" "Fight_club_book_44_10" "Fight_club_book_44_11" "Fight_club_book_44_12" "Fight_club_book_44_13" "Fight_club_book_44_14" "Fight_club_book_44_15" "Fight_club_book_44_16" "Fight_club_book_44_17" "Fight_club_book_44_18" "Fight_club_book_44_19" "Fight_club_book_44_20" "Fight_club_book_44_21" "Fight_club_book_44_22" "Fight_clubbook_11_1" "Fight_clubbook_11_2" "Fight_clubbook_11_3" "Fight_clubbook_11_4" "Fight_clubbook_11_5" "Fight_clubbook_11_6" "Fight_clubbook_11_7" "Fight_clubbook_11_8" "Fight_clubbook_11_9" "Fight_clubbook_11_10" "Fight_clubbook_11_11" "Fight_clubbook_11_12" "Fight_clubbook_11_13" "Fight_clubbook_11_14" "Fight_clubbook_11_15" "Fight_clubbook_11_16" "Fight_clubbook_11_17" "Fight_clubbook_11_18" "Fight_clubbook_11_19" "Fight_clubbook_11_20" "Fight_clubbook_11_21" "script_reference_1" "script_reference_2" "script_reference_3" "script_reference_4" "script_reference_5" "script_reference_6" "script_reference_7" "script_reference_8" "script_reference_9" "script_reference_10" "script_reference_11"
"все" 1 0.2 0.6 0 1 0.4 0.8 0.6 0.4 1 0 0.4 0.4 1.2 1 0.8 0.6 0 0.4 0.8 0.4 1 1.8 0.6 0.6 0.2 0.4 0.8 0.2 1.4 1.4 0.4 0.8 1.6 0.4 0.4 0.4 0.2 0.2 0.8 0.4 1.8 1 2.4 0.4 0.8 1 0.8 0.6 0.6 1.2 0.2 1.2 0.4 0.4 0.2 0 0.6 1.2 0.6 0.2 2 1.2 0.8 1.2 0.6 0.6 0.6 0.8 1 0.4 0.8 0.4 1.2 0.2 0.2 0.6 0.4 1 0.2 0.8 1.4 1 0.4 0.6 0.4 0.4 0.4 0.4 1.2 0.8 1.6 0.8 1 2 1.2 1 0.8 0.4
"а" 0.2 1.2 0.6 0.8 0.4 0.8 0.8 1 0.6 0.8 0.4 0.6 0.6 0.6 0.6 0.2 0.2 1 0.8 0.4 0.6 1.2 0.8 0.2 1.4 0.4 0.4 0.2 0.4 0.4 0.6 0.6 1 1.2 0.6 0.2 0.4 0.2 0.4 0.2 0.6 1 0.8 0.8 0.6 0.4 0.8 1.8 1.2 0.6 1 0 1 0.8 1.2 1 0.4 1.2 0.6 1 1 0.4 0.6 0.2 1.2 0.8 0.8 1.2 0.6 1.4 1.2 0.8 0.6 1.2 0.4 0.6 1 0.4 0.8 0.2 0.6 0.4 1.2 0.8 0.2 0.2 0.6 0.8 0.6 1 1.2 0.8 1 1 0.8 0.2 0.4 0.2 1.2
"меня" 0.8 0 0.2 0 1.4 0.2 0.6 0.2 1.4 0.2 0.4 0.4 0 0.4 0.2 0.2 1.4 0 0.8 0.4 1.8 1 0.8 0 1 0.8 0 1.2 0.4 0 1 0.4 1 0.6 0.6 1.4 1.2 1.2 0.6 1.8 2.4 1 1.2 1 2.2 1.4 0.6 0.4 0 1.2 1.4 1 0.8 0 0.4 0.4 0.2 0.4 0.2 0.2 0 0.8 1.4 0.2 0 0 0.8 0.4 0.8 0.8 0.2 0.8 1 1.2 0 0 0 0.4 0.4 0.8 0.2 0.6 1 0.4 1.8 0.2 0.4 1 1.4 0.6 0.8 0.6 0.6 0.4 0.8 1 1.4 1.2 0.2
"у" 1 0.2 0.2 0.2 0.6 0.6 0.4 0.4 0.8 0.2 0 0.4 0.2 0.2 1 1.2 1 0.8 0.8 0.2 1.8 0.8 0.8 0.4 1.2 0.4 0 1 0.8 0.6 0.4 1 0.6 0.4 0 1 1 0.6 0.8 0.8 1.2 0.6 0.2 0.6 0.8 1 1.4 1.8 0.8 0 1.2 0.4 1 0.6 0.6 0.6 0.2 0.6 0.8 0 0.4 0.4 1.2 1 0.6 0.6 0.4 0.4 0.4 1 1.4 0.8 1.8 0.4 0.2 0.2 0.4 0.2 1 0.2 1 0.8 0.4 1.2 0.8 0.4 0.6 0 0.6 0.6 1 0 1.4 0.4 0 1 0.8 0.6 0.4
"как" 0.6 1.2 1 0.6 0.6 0.8 0.4 1.2 0.4 0.6 0.8 1.2 0.6 1.2 1.4 1 0.6 1 0 0.2 0.6 0.2 0.2 0 0.8 0.4 0.2 1 0.6 0.6 0.8 0 0.4 0.8 0 0 0.6 0.2 0.2 0.6 0.4 0.6 1.4 0.6 0.6 1.6 0.6 1 1.4 0.4 1 0.8 0.4 0.6 0.8 0.8 0.6 0 0.6 0.8 1 1.2 0.2 1.2 0 0.4 0.6 0 0.8 0.6 0.8 0.4 0.4 1 0.8 0.6 0.2 0.4 0.6 1.4 1 0.8 0 0.4 0.4 0.6 1 1.4 0.4 0.6 0.6 0.6 0.4 0.8 0.4 0.8 0.8 0 0.8
"из" 1 1 0.8 1.4 0.2 1 1.2 0.2 1.2 0.4 0.4 0.4 1 0.8 0.2 0.4 0.4 2.2 0.6 0 0.2 1.2 0.4 0.2 0 0.2 0.8 0.6 0.6 0.6 0 0.6 1.6 0.6 1 1.8 0.8 0.4 1.4 0.2 0.4 0.4 0.6 0.4 0.6 0.6 0.2 0.8 0.8 0.4 0.8 0.6 0.8 1.2 2.6 0.2 0.8 0.4 0.8 0.4 0.2 0.8 0.6 0.8 0.2 0.4 0.4 1.2 1 0.4 0.8 0.2 0.2 0.2 0.8 0 1.4 0.6 0.4 0.2 0 1.4 1.6 0.8 0.2 0.8 0.4 0.4 0.2 0.2 0.2 0 0.2 0.4 0.2 0.6 0.4 0.8 0.2
"мне" 0.2 0.2 0.6 0.2 0.2 1 0.6 0.2 1.4 0.4 0.2 0 0 0 0.2 0 1.8 0.6 0.2 0.6 0.4 0.2 1 0.4 0.6 0.6 0.6 2.6 0.8 1.4 0.8 0.4 0.8 0.4 0.2 0.4 0.4 0.8 0.8 0.4 0.2 1.2 0.8 0.4 1.2 1 0.8 0 0.4 0.6 1.4 1.4 0.2 0.2 0.6 1.4 0.2 0.6 0.4 0 0.8 0.8 1 0 0.6 0 0 0.6 0 0.4 0.8 1.2 1.4 0.6 0 0 0 0 1 0.2 1 0.4 0.8 0 1.2 0.2 1.2 1.2 0.4 0.8 0.4 1 0.4 0.4 0.4 1 1.2 3 0.2
"то" 1.4 1.4 0.2 0.8 0.8 0.4 1.8 0.8 0.6 0.4 0.4 0.4 0.2 0.2 0.8 0.6 1.2 0.8 0 0.4 0 0.8 0.6 0.6 0.2 0.6 0 0.8 0 0.6 0.2 0.6 0.6 0.4 0.2 0 0.4 0.4 1.2 2.6 0.8 1.2 0.8 0.6 0.4 0.6 1.6 0.4 0.8 0.6 0.4 0.6 1.2 1.2 0.4 0.6 0.8 0.2 0.2 0.2 0.6 0.6 0.8 0 0.8 0.6 0.8 1.2 0.8 1 0.2 0.2 0 0.4 0.8 0.4 0.8 1.2 0.4 0.8 0.4 0.6 0.2 0.2 0 0.4 1.2 0.6 0.4 0.4 0.2 0.2 0.2 0 0.6 0 0.6 0.6 0.6
"говорит" 0.4 0 0.6 0.4 0.2 1.4 1.4 1.6 1 1.8 2.2 1.8 1 2.2 1.4 0.4 0.6 1.2 0.4 0.6 0 0.6 1.2 0.6 0 0 0.8 1.2 1.8 1.2 1.6 1 1 0.8 0 0.8 0.6 0.2 2.2 0.2 1 0.8 0 0.4 0.6 0.6 0.2 0.2 0.4 0.6 0 0.2 0 0.2 0 0 0.8 0.6 1 0.2 0.4 0 0.6 0.2 1.4 0.6 1.2 0.4 0.2 0.6 0.2 0.4 0 0 0 0 0 0.2 0.2 0 0.4 0.2 0 0.2 0.6 0.2 0.4 0.2 0 0.2 0 0 0 0 0 0 0 0 0
"мы" 0.6 0.6 0 0.2 0.2 0 0 0.4 0.2 0.2 0.2 0.8 0.4 0.2 0.6 1.4 0.2 1.4 0.8 0.6 0.2 0 0.8 2.6 0 0 0.4 1 1.6 3.2 1 0.4 0 0.6 0.4 0.4 0.8 0 0.6 0 0.2 0 0 0.4 1.4 0.6 0.2 0.6 0 0.2 0.2 0 0.2 0 0 0.2 1 0.6 0.2 0.4 0.6 0.6 0.4 0.4 1 0.4 0.6 1.6 0.6 0.4 0 1.2 0.2 1.2 0.2 0 0 1 0.8 0 0.8 0 0.4 0 0.6 0.4 0.4 0.8 0 0.6 1 0.6 0 2 1 0 0.8 0.2 1.8
"он" 0.6 0.6 0.8 0.4 0.2 0.4 0.2 0.2 0.2 0 0 0.4 0.8 0.6 1 0 0.8 0.2 0.4 0.4 0.8 0.8 0.6 1.4 0.2 0 0.8 0.2 0.8 0.4 0.6 0.4 0.4 1.2 0.6 0.8 0 0 0.6 0 0 0.4 1 0.6 0.4 0.4 1 0 0 0.4 0.4 0.4 0.2 0.4 0.4 0.6 0.4 1 1.4 0.8 0.4 0.4 0.8 0.6 1.8 0.4 0.8 0.2 0.4 0.4 0 0.2 1.6 0 0.8 0.4 0.2 0.4 1.8 0 0 0 1.2 0 0.4 1 0.8 0.8 0.6 1.4 1 0.4 0 1 0.4 1.4 0.2 0 0.2
"за" 0.2 0.4 0.4 1 0.6 1.2 0.6 0 0.6 0.2 0.8 0.8 0.6 0.2 0.4 0.4 0.6 0.2 1.2 0.6 1.2 0.8 0.6 1.4 0 0.6 0.6 0 0.4 0.2 0.6 0.2 0.6 0.4 0.4 0.6 0.4 0.6 0.8 1.6 0.6 0.8 0.4 0.4 0.6 0.2 0.2 0.4 0.6 1 0.2 0.6 0.2 0.4 0 1.6 0 0.4 0.4 0.6 0.4 0.4 1.4 0.8 0.4 0.2 0.8 0.6 0.2 0 0.4 0.6 0 0.4 0.8 0.2 0.2 0.2 0 1 1 0.6 1 0.2 0.4 0.2 0.2 1 0.4 0.2 1 0.4 0.2 0 0.2 0.6 1.2 0.6 0.2
"марла" 0.4 0.2 2.2 2.8 1.2 1.8 1.6 0.6 1.2 0 0 0 0 0 0 0.6 2.6 1.8 1.4 0 0 0 0 0 0 0 0.2 1.8 0 0 0.8 1.2 1.2 1.2 0 0.8 1 0 0 0 3.4 1.6 0.2 0 0.8 1.4 1 1.2 2.2 0 0 0 0 0 0 0 0 0 0 0.2 1.4 0 0.6 0 0 0 0 0 0.4 0 0 0 0 1.6 0 0 0 0 0.4 1.6 2.6 0.6 0 0 0 0 0 0 0.4 0 0.2 0 0 0 0.2 0.2 0.8 1.2 0
"по" 0.2 0.6 0.6 1.2 0.8 0.4 0.2 0.4 0.2 0.6 0.6 0.2 0.2 0.8 0.4 0.8 0.6 0.2 1 0.2 1 0.8 0.8 0.6 0.4 0 0.6 0.2 0.8 0.4 0.2 0.6 0.2 0 1.4 0.4 0.2 0.2 0.6 0.4 1.4 0.4 1 1.2 0.2 0 0 0.2 0.4 0.6 1 1.2 1.4 0.6 1 0.4 0.4 0.2 0.6 0.6 0.2 0.8 0.6 0.2 0.6 0.6 0 0.6 0.2 0.2 0.4 0.4 0.4 0.6 0.8 0.2 0 0.6 0.2 1.2 0.4 0 0.6 0.2 1 0.2 1 0.6 0.8 0.4 0.6 0 0 0.2 0.4 0.4 0.2 0.4 0.4
"к" 0 0.6 0 1 0.4 0.2 0.4 0.6 0.6 0.6 0.6 0.2 0.4 0.4 0.6 0.2 0.6 0.2 0 0.8 0.2 0 0.2 0.8 2.4 2.4 0.4 0 0 0.2 0.6 0.2 0.2 0.6 0 1 0.2 0.4 0.6 0.6 0 0 0.4 0.2 0.4 0 0.2 0 0.4 0.6 0.2 0.4 0.4 0.2 0.4 0.2 0 0.8 0.8 0.2 0.4 0 0.4 0.2 0.2 0 0.2 0.4 0 0.6 0.2 1 0.4 0.6 0.4 0.2 0 0.2 1 0.8 0.6 0.4 0.6 0.2 1.4 0.6 0.4 0.2 0.2 0 0.4 0.2 0.6 0.4 0.2 0.2 0 0 0.6
"его" 0.2 0.2 0 0.2 0 0.4 0.6 0.8 0.8 0.2 0 0.6 0 0 0.2 0.2 0.4 1 0.4 0 0.4 0.2 0.8 0.8 0 0.6 0.2 0.2 0.6 2 0.2 0 0.2 1.8 1.4 0.2 0 0.6 0.2 0 0 0.4 0.6 0.2 0 0.6 0.4 0.2 0 0.2 0.4 1.4 0.6 0.4 1 1 0.2 1 1 1 0 0.2 0 0 0.2 0.4 0 0.4 0.2 0.6 0.4 0 0.6 0.2 0.4 0 0.2 0.2 0.4 0.2 0 0.2 0.2 0 0.2 1 0.6 0.4 0.2 0.2 0 0 0.4 0.2 0.4 1.4 0 0.2 0
"но" 0.6 0.2 1 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.6 0.2 0.2 0 0.8 0.6 0.2 0.2 0.4 0.6 0 0.8 0.2 0 0.6 0.4 0.8 0.2 0.6 0.6 1.6 0.2 0.8 0.6 0.2 0.4 0.4 0.4 0.4 0.6 0.2 0.6 0.2 0 0.6 0.4 0.4 0.2 0.2 0.2 0.6 0.8 0.2 0 0.4 0 0 0.2 1.4 0 0.4 0.2 0 0.2 0.2 0.6 0.6 0.2 0.6 0.2 0.2 0.2 0.4 0.8 0.2 0 0.2 0.4 0.4 0.4 0.6 0.6 0.2 0.2 0.2 0.4 0.4 0.8 1 0 0.2 0.2 0.2 0.2 0.2 0.2 0.4 1 0.4
"нет" 0 1 0 0 0.8 0.4 0.2 0 0 0 0 0 0.4 0 0 0 0.4 0.2 0.2 0 0.2 0.6 0 0 0.2 0.4 0.8 0.6 0 0.6 0.2 0 0.2 0.4 0.2 0 0 0 0 0.4 1 1.2 0 0.2 0.4 0.4 0 0.2 1 0.4 0 0 0.4 0.2 0.6 0 0 0.2 0.2 0.4 0 0.6 0.6 0.4 0.4 0.2 0 0 0 0.4 0 0 0 0.2 0 0.2 0.2 0 0 0 1 0 0 0.2 0 0 0 0 1.2 1 1.6 1 1.8 0.6 0 1.2 2.2 1.2 1.8
"если" 0.6 0 0.2 0.4 0.2 0.2 0.4 1 0.8 0.2 0 0.4 0 0.2 0.4 0.4 0.2 0.6 0.2 0.2 0 0 0.2 0.2 0.2 0.8 0.4 0.2 0.2 0.8 0.6 0.2 0 1 0.2 0.4 0 0.6 0.2 0 0.2 0.2 0.2 0 0.4 0.4 0.6 0.4 0.6 0 0.4 0.2 0 1 0 0 0.4 2 0.8 0.2 0 0 0 0 1.8 0 0 0.2 0.6 0.8 0.4 0.4 0.2 0.8 0.4 0 0.4 0.8 0.2 0.2 0 0.4 0 0 0.2 0.6 0 0.2 0.4 0 0.2 0 0.4 0.6 0.2 0.2 0.2 0 1
"когда" 0.6 0 0 0.8 0.4 0.6 0 0.4 0 0.4 0 0.6 0.2 0.4 0.6 0.2 0.4 0 0.6 0 0 0.2 0.2 0.4 0.4 0 0 0.6 0.8 0.2 1 0.2 0.6 0.4 0.2 0.2 0.4 0.2 0 0 0.4 0.2 0 0.2 0 0.4 0.4 0.6 1 0.2 0.8 0 0.2 0.2 0.4 0.6 0 0.2 0.2 0 0.2 0.6 0.2 0.2 0 0.2 0.2 0.6 0.2 0.8 0 0.4 0.6 0.8 0.8 1 0.4 0.6 0 0.6 0.6 0.8 0.4 0.4 0.4 0.6 0.8 0.2 0.2 0.2 0.2 0 0.4 0 0 0 0.2 0 0.2
"от" 0 0.4 0.4 0 0 0.8 0.6 0.6 0 0.2 0.4 0.2 0 1 0.4 0.4 0 0 0.8 0.6 0.2 0.2 0.6 0.2 1 0.4 0.4 0.4 0.2 0.4 0.2 0 0.2 0.2 0.8 0 0.4 1 0 0.8 0.4 1 0.6 0.2 0 0.4 0.6 0 1 0 0 0 0.2 0 0.4 0.2 0.6 0.4 0 0.4 0.2 0 0.2 0.8 0.2 0.2 0.2 0 0.2 0.2 0.2 0 1 0 0.4 1 0.4 0 0.8 0.4 0 0.2 0.2 0.2 1 0.4 0.2 0 0.4 0.2 0 0 0 0 0.6 0.2 0.4 0.4 0.6
"так" 0.4 0.4 0.4 0.2 0.2 0.4 0.6 0.4 0.4 0.2 0.2 0.2 0.8 0.6 0 0 0.4 0.2 0 0 0.2 0.2 0.4 0.6 1.2 0.2 0.2 0.8 0.2 0.2 0.4 0 0.4 0.2 0.4 0 0.4 0.6 0.6 0 0.2 0.4 0 0 0.4 0.8 0.2 0.4 0.2 0.2 0 0.4 0.4 0.2 0.6 0.2 0 0.2 0.8 0.2 0 0 0.4 0.4 0.6 0.4 0.2 0.4 0.2 0.2 0.2 0.4 0.6 0.2 0.6 0 0.2 0.2 0.4 0 0.4 0.8 0.4 0.2 0.2 0.2 0.8 0.8 0.2 0 0 0.4 0.6 0.4 0.2 0 0.8 0.6 0
