,Source,Target,Weight,Type
28,Goncharov_Obryv,Turgenev_OtsyIDeti,6,undirected
29,Goncharov_ObyknovennayaIstoriya,Dostoevsky_BednieLyudi,3,undirected
30,Goncharov_ObyknovennayaIstoriya,Dostoevsky_PrestuplenieINakazanie,1,undirected
31,Goncharov_ObyknovennayaIstoriya,Dostoevsky_UnijennieIOskorblennie,4,undirected
32,Goncharov_ObyknovennayaIstoriya,Goncharov_Oblomov,25,undirected
33,Goncharov_ObyknovennayaIstoriya,Goncharov_Obryv,20,undirected
34,Goncharov_ObyknovennayaIstoriya,Turgenev_OtsyIDeti,6,undirected
35,Tolstoy_AnnaKarenina,Tolstoy_SemeynoeShastye,12,undirected
36,Tolstoy_AnnaKarenina,Tolstoy_VoinaIMir,22,undirected
37,Tolstoy_AnnaKarenina,Tolstoy_Voskresenie,30,undirected
38,Tolstoy_AnnaKarenina,Turgenev_Dym,3,undirected
39,Tolstoy_AnnaKarenina,Turgenev_OtsyIDeti,2,undirected
40,Tolstoy_SemeynoeShastye,Dostoevsky_UnijennieIOskorblennie,10,undirected
41,Tolstoy_SemeynoeShastye,Tolstoy_AnnaKarenina,12,undirected
42,Tolstoy_SemeynoeShastye,Tolstoy_Voskresenie,8,undirected
43,Tolstoy_VoinaIMir,Tolstoy_AnnaKarenina,22,undirected
44,Tolstoy_VoinaIMir,Tolstoy_Voskresenie,23,undirected
45,Tolstoy_VoinaIMir,Turgenev_Dym,4,undirected
46,Tolstoy_VoinaIMir,Turgenev_OtsyIDeti,1,undirected
47,Tolstoy_Voskresenie,Tolstoy_AnnaKarenina,30,undirected
48,Tolstoy_Voskresenie,Tolstoy_SemeynoeShastye,8,undirected
49,Tolstoy_Voskresenie,Tolstoy_VoinaIMir,23,undirected
50,Tolstoy_Voskresenie,Turgenev_Dym,4,undirected
51,Tolstoy_Voskresenie,Turgenev_OtsyIDeti,1,undirected
52,Turgenev_DvoryanskoeGnezdo,Goncharov_Obryv,5,undirected
53,Turgenev_DvoryanskoeGnezdo,Turgenev_Dym,20,undirected
54,Turgenev_DvoryanskoeGnezdo,Turgenev_OtsyIDeti,25,undirected
55,Turgenev_Dym,Dostoevsky_Besy,6,undirected
56,Turgenev_Dym,Dostoevsky_PrestuplenieINakazanie,3,undirected
57,Turgenev_Dym,Goncharov_Obryv,7,undirected
58,Turgenev_Dym,Tolstoy_AnnaKarenina,3,undirected
59,Turgenev_Dym,Tolstoy_VoinaIMir,4,undirected
60,Turgenev_Dym,Tolstoy_Voskresenie,4,undirected
61,Turgenev_Dym,Turgenev_DvoryanskoeGnezdo,20,undirected
62,Turgenev_Dym,Turgenev_OtsyIDeti,30,undirected
63,Turgenev_OtsyIDeti,Dostoevsky_PrestuplenieINakazanie,1,undirected
64,Turgenev_OtsyIDeti,Dostoevsky_UnijennieIOskorblennie,1,undirected
65,Turgenev_OtsyIDeti,Goncharov_Oblomov,5,undirected
66,Turgenev_OtsyIDeti,Goncharov_Obryv,6,undirected
67,Turgenev_OtsyIDeti,Goncharov_ObyknovennayaIstoriya,6,undirected
68,Turgenev_OtsyIDeti,Tolstoy_AnnaKarenina,2,undirected
69,Turgenev_OtsyIDeti,Tolstoy_VoinaIMir,1,undirected
70,Turgenev_OtsyIDeti,Tolstoy_Voskresenie,1,undirected
71,Turgenev_OtsyIDeti,Turgenev_DvoryanskoeGnezdo,25,undirected
72,Turgenev_OtsyIDeti,Turgenev_Dym,30,undirected
